id,cell_type,classification_system,pt_supervoxel_id,pt_root_id
115901,BC,inhibitory_neuron,80304962239753542,864691135569044204
327871,23P,excitatory_neuron,93390181604325341,864691135946575140
555813,astrocyte,nonneuron,108238329954743139,864691135474714944
326774,23P,excitatory_neuron,93458489770309279,864691135699737365
394435,4P,excitatory_neuron,97613818351578353,864691135937904900
420898,23P,excitatory_neuron,98732365878339527,864691136330500586
65497,23P,excitatory_neuron,78045947686430963,864691136116969892
257438,23P,excitatory_neuron,89448294576925212,864691135850446023
71109,4P,excitatory_neuron,76644826074059521,864691135462265501
293283,23P,excitatory_neuron,89867691019683973,864691135698325146
261581,4P,excitatory_neuron,87975292794128990,864691135946545956
766569,6P-IT,excitatory_neuron,119368412425315455,864691136272967614
362943,4P,excitatory_neuron,95292130696160691,864691135954699299
112444,23P,excitatory_neuron,78684076143368200,864691136522309777
168654,6P-CT,excitatory_neuron,82284564206134214,864691135100796192
333077,4P,excitatory_neuron,93322355950344352,864691135361099608
493043,astrocyte,nonneuron,105074004678939431,864691135440517448
198168,5P-ET,excitatory_neuron,84951980824604011,864691136211411644
208193,astrocyte,nonneuron,84258875846699999,864691135309153094
392353,4P,excitatory_neuron,97189818978908747,864691136119335960
36804,oligo,nonneuron,75523186774901004,864691136099776629
430351,astrocyte,nonneuron,99588609954538650,864691135181838082
459337,5P-IT,excitatory_neuron,101979566574512425,864691135526892635
390145,23P,excitatory_neuron,97399206754747723,864691135746236296
188326,23P,excitatory_neuron,83816252757765394,864691135305437863
492739,4P,excitatory_neuron,104863241909569322,864691135491586023
407861,6P-CT,excitatory_neuron,97416662240172294,864691135355457999
171970,6P-IT,excitatory_neuron,82568925803673881,864691135730113977
497681,6P-IT,excitatory_neuron,104235215551073460,864691135498503443
306050,6P-IT,excitatory_neuron,91220638735767060,864691135988318720
456936,4P,excitatory_neuron,101272442890354122,864691135518479498
564607,6P-IT,excitatory_neuron,109585782192764161,864691136812693107
552656,astrocyte,nonneuron,109641650321771872,864691134988384122
533983,6P-IT,excitatory_neuron,105858574810574249,864691135754523341
519978,4P,excitatory_neuron,105563287420382525,864691135577641989
531751,5P-ET,excitatory_neuron,105645475444609366,864691136274633741
116855,4P,excitatory_neuron,79319388175835182,864691135509564425
624316,6P-IT,excitatory_neuron,113387756365128202,864691136365309047
395099,4P,excitatory_neuron,97120756642675717,864691135405224174
188204,23P,excitatory_neuron,84028939403750217,864691135661281264
390116,astrocyte,nonneuron,96413906897334912,864691135946653281
231403,5P-IT,excitatory_neuron,86221571546944381,864691136443724163
620181,astrocyte,nonneuron,113382602404252596,864691136108755640
580326,astrocyte,nonneuron,110131002990909942,864691136175032326
502880,6P-IT,excitatory_neuron,105085549618390730,864691135800425058
241081,6P-CT,excitatory_neuron,87214362900709536,864691135294002188
397944,astrocyte,nonneuron,98180066303282777,864691135012416502
238794,5P-ET,excitatory_neuron,86789607681156602,864691135658858626
203677,5P-NP,excitatory_neuron,84677308740679286,864691135214003584
452115,23P,excitatory_neuron,101266395509095606,864691136023800633
223320,23P,excitatory_neuron,87053628447223018,864691135952938019
400645,6P-IT,excitatory_neuron,96354671177923886,864691136423439919
174015,OPC,nonneuron,82289580862447531,864691136423033391
457984,oligo,nonneuron,102398618547859991,864691135373713993
227129,4P,excitatory_neuron,86426355654450583,864691136123686438
535687,5P-NP,excitatory_neuron,107055186857834481,864691135772142843
170140,astrocyte,nonneuron,82284840225358662,864691135760547662
235059,5P-ET,excitatory_neuron,85800460002385381,864691135446803346
107456,23P,excitatory_neuron,80228547389621803,864691135498348051
110505,23P,excitatory_neuron,80440890371759047,864691136131137873
426407,BC,inhibitory_neuron,98740062325860285,864691135163912237
85845,6P-IT,excitatory_neuron,77431732131203217,864691135278974881
362948,4P,excitatory_neuron,95503649178357235,864691136117959588
436737,oligo,nonneuron,99314488767094680,864691136335597235
