id,cell_type,classification_system,pt_supervoxel_id,pt_root_id
491683,4P,excitatory_neuron,104580118604787906,864691135469258578
393297,23P,excitatory_neuron,98103101764025645,864691135925524750
519390,4P,excitatory_neuron,106267730105407223,864691136371724936
689828,NGC,inhibitory_neuron,118577382394200292,864691135560996321
585686,4P,excitatory_neuron,111757523480477655,864691135754898125
430955,oligo,nonneuron,100363147646877675,864691135955398664
499337,oligo,nonneuron,104589532703768997,864691135851044551
158099,23P,excitatory_neuron,81709520900179790,864691135564695639
467675,6P-IT,excitatory_neuron,102902331507024086,864691135447308884
367504,oligo,nonneuron,96139579215657828,864691135212699264
63852,23P,excitatory_neuron,77977365044574178,864691135762572854
159241,oligo,nonneuron,82275631010154219,864691136973714204
608800,pericyte,nonneuron,114003620315589165,864691135615785065
662793,astrocyte,nonneuron,114926316729647796,864691135337737190
527857,5P-IT,excitatory_neuron,105359603696631008,864691135873841038
236736,6P-IT,excitatory_neuron,85240739528886927,864691136175041542
533468,6P-CT,excitatory_neuron,107473414868110960,864691136009378732
376101,6P-IT,excitatory_neuron,96289868979882961,864691135304128935
200518,oligo,nonneuron,84884634261054590,864691136200475882
291331,microglia,nonneuron,90571171766184083,864691135891847561
258249,BC,inhibitory_neuron,89448226595873077,864691136524371345
596860,6P-CT,excitatory_neuron,111840811955820380,864691136436879262
457422,4P,excitatory_neuron,101484992567477539,864691136389175056
