pre_pt_root_id,post_pt_root_id,n
864691134989283450,864691136740835932,1
864691134989358458,864691136736141422,1
864691134989384058,864691136740924764,1
864691134989461882,864691136740924764,1
864691134989535354,864691136736141422,1
864691134989722746,864691136741465692,1
864691134989745018,864691136724540157,2
864691134990124410,864691136740433756,1
864691134990309242,864691136732833902,1
864691134990535546,864691136741182812,1
864691134990544762,864691136741991772,1
864691134990606970,864691136758865774,1
864691134990621306,864691136732833902,2
864691134990817914,864691136724121853,1
864691134990847098,864691136725878269,2
864691134990847098,864691136740835932,1
864691134990861946,864691136725356541,1
864691134990861946,864691136725773053,1
864691134991032954,864691136742921308,1
864691134991040378,864691136724382973,3
864691134991040378,864691136724511485,1
864691134991040378,864691136740886108,2
864691134991040378,864691136741497180,2
864691134991040378,864691136741774684,1
864691134991100794,864691136725773053,1
864691134991229562,864691136741774684,1
864691134991229562,864691136755547502,1
864691135012372214,864691136740886108,2
864691135012372214,864691136743424348,1
864691135012408054,864691136743402862,1
864691135012412406,864691136724121853,1
864691135012416502,864691136724540157,1
864691135012423414,864691136741756252,1
864691135012423414,864691136742047324,1
864691135012432374,864691136724542973,1
864691135012458230,864691136723596797,1
864691135012458742,864691136745644004,1
864691135012467702,864691136742438492,1
864691135012478966,864691136740416092,1
864691135012494070,864691136724121853,3
864691135012495094,864691136758676598,1
864691135012500470,864691136724624125,1
864691135012502262,864691136723596797,1
864691135012507126,864691136724542973,1
864691135012510710,864691136723598077,1
864691135012541174,864691136742248046,1
864691135012646134,864691136743364188,1
864691135012674038,864691136741182812,1
864691135012837366,864691136735818094,1
864691135012884214,864691136741991772,1
864691135012894614,864691136724327165,1
864691135012895894,864691136732263542,1
864691135012895894,864691136742071900,2
864691135012896150,864691136723596797,1
864691135012896502,864691136742071900,1
864691135012925078,864691136740886108,1
864691135012941302,864691136758865774,1
864691135012944022,864691136724624125,1
864691135012968438,864691136724687613,1
864691135013260438,864691136723596797,1
864691135013300470,864691136741756252,1
864691135013304566,864691136741497692,1
864691135013325718,864691136732833902,1
864691135013337750,864691136725773053,1
864691135013377270,864691136742047324,1
864691135013399190,864691136724121853,2
864691135013399190,864691136742047324,1
864691135013437174,864691136741533532,1
864691135013464214,864691136742921308,1
864691135013481462,864691136741530460,1
864691135013503990,864691136732833902,1
864691135013517046,864691136732833902,1
864691135013522934,864691136725391357,2
864691135013530870,864691136741530460,1
864691135013550326,864691136736141422,1
864691135013747606,864691136723596797,3
864691135013762966,864691136742248046,1
864691135013832342,864691136724153853,1
864691135013881494,864691136740460636,1
864691135013904278,864691136732973422,1
864691135013905302,864691136724121853,2
864691135013930902,864691136725868541,1
864691135013934230,864691136740841564,1
864691135013957622,864691136740886108,1
864691135013957622,864691136743424348,11
864691135013958390,864691136724153853,5
864691135013958390,864691136740924764,1
864691135013958390,864691136758676598,1
864691135014258070,864691136724121853,1
864691135014276342,864691136724121853,12
864691135014383254,864691136724687613,2
864691135014442486,864691136740924764,4
864691135014442486,864691136742047324,2
864691135014751734,864691136724327165,2
864691135014751734,864691136741444444,7
864691135014751734,864691136742438492,3
864691135014751734,864691136743296484,3
864691135014902678,864691136732833902,1
864691135015096822,864691136742921308,2
864691135015288566,864691136740402524,1
864691135015324406,864691136741444444,2
864691135015334134,864691136725391357,1
864691135015350422,864691136725356541,1
864691135015364854,864691136725391357,3
864691135015364854,864691136725773053,1
864691135015364854,864691136741182812,1
864691135015369974,864691136741182812,1
864691135015437462,864691136725868541,4
864691135015437462,864691136741444444,3
864691135015437462,864691136743169372,1
864691135015690134,864691136725773053,1
864691135015690134,864691136741182812,1
864691135015755670,864691136740402524,1
864691135015755670,864691136740891740,1
864691135015755670,864691136741182812,1
864691135015755670,864691136741991772,1
864691135015792534,864691136724382973,2
864691135015792534,864691136725134589,1
864691135058562715,864691136741532764,1
864691135058562715,864691136741533532,1
864691135058586267,864691136724360957,1
864691135058698139,864691136745254116,1
864691135058889115,864691136724121853,6
864691135058889115,864691136740924764,2
864691135059329691,864691136743424348,1
864691135059404443,864691136741221468,1
864691135059431323,864691136724511485,1
864691135059442843,864691136743070062,1
864691135059444379,864691136743424348,1
864691135059505051,864691136725356541,1
864691135059538587,864691136740460636,1
864691135059538587,864691136740924764,2
864691135059558811,864691136740924764,1
864691135059558811,864691136742047324,3
864691135059561371,864691136724121853,1
864691135059768475,864691136741223260,1
864691135059845275,864691136740924764,1
864691135060055707,864691136732833902,2
864691135060067739,864691136741539420,1
864691135060077211,864691136743424348,2
864691135060651419,864691136725868541,1
864691135060678299,864691136741991772,1
864691135060740507,864691136724153853,1
864691135060740507,864691136724624125,1
864691135060740507,864691136740460636,2
864691135060740507,864691136740841564,5
864691135060772763,864691136724511485,2
864691135060772763,864691136725868541,2
864691135060772763,864691136740406108,1
864691135060772763,864691136743169372,16
864691135060842395,864691136725773053,1
864691135060855963,864691136741991772,1
864691135060887707,864691136725356541,1
864691135060887707,864691136740402524,1
864691135060968091,864691136724511485,2
864691135060992155,864691136725868541,1
864691135060992155,864691136741497180,1
864691135060992155,864691136741531228,1
864691135060992155,864691136741774684,3
864691135060992155,864691136743169372,1
864691135064978500,864691136741530460,3
864691135065012804,864691136725868541,1
864691135065013572,864691136741221468,1
864691135065086020,864691136740924764,1
864691135065086020,864691136741497692,1
864691135065090372,864691136723598077,1
864691135065128260,864691136724121853,2
864691135065782852,864691136741465692,1
864691135065986884,864691136736141422,1
