pre,post,n
864691135662886384,864691135124401191,1
864691136595572386,864691135118565085,1
864691136331560938,864691135119120349,1
864691136136767115,864691135117836509,1
864691135976699203,864691135118741725,1
864691135083846903,864691135114628505,1
864691135942389249,864691135119891165,2
864691135493183207,864691135114911385,1
864691135616565451,864691135119120349,5
864691135876935251,864691135123335463,1
864691135946999649,864691135118565085,1
864691136673570951,864691135123162407,1
864691135502742621,864691135117836509,1
864691135927928532,864691135118565085,1
864691136085109612,864691135115122585,1
864691135343588549,864691135119120349,6
864691135859005288,864691135132937888,1
864691136119929368,864691135118571997,3
864691135731228601,864691135118756573,2
864691134940958563,864691135124690471,1
864691136740102766,864691135123342887,1
864691135772211019,864691135118565085,1
864691135448821844,864691135119866845,1
864691136814400627,864691135119891165,1
864691135508693769,864691135114582681,1
864691135454773866,864691135118186461,1
864691136814400627,864691135122942503,1
864691136116186788,864691135118658269,2
864691135783322704,864691135124690471,5
864691135577907486,864691135118674397,2
864691135540650948,864691135118629597,1
864691135565589015,864691135122836263,1
864691135859844200,864691135123188007,3
864691136536253090,864691135118197725,1
864691135375765321,864691135122836263,6
864691135866305662,864691135132769696,1
864691135164857133,864691135122731815,1
864691135395577845,864691135114679705,2
864691135441585224,864691135123342887,1
864691135305590439,864691135124538151,1
864691135279127969,864691135118128861,1
864691135939017525,864691135124690471,3
864691135196658986,864691135114175129,1
864691135939232260,864691135122942503,1
864691136334567091,864691135119891165,2
864691135462749246,864691135123358503,4
864691137020883054,864691135132937888,2
864691135503724354,864691135119099869,1
864691135384526554,864691135123508775,1
864691136453186559,864691135124538151,2
864691134965429023,864691135132671904,1
864691135921985539,864691135123342887,1
864691135182824450,864691135122346023,1
864691136040038142,864691135122836263,1
864691135367436537,864691135117818077,1
864691136002283683,864691135118458845,1
864691136102450037,864691135118831325,4
864691135562057953,864691135122836263,1
864691136523335057,864691135118847197,1
864691134941488995,864691135114175129,1
864691135345150623,864691135118720221,1
864691136226968657,864691135123342119,1
864691135693708991,864691135122346023,1
864691135345960607,864691135123726119,1
864691135405480430,864691135119991261,2
864691136309666138,864691135114911385,1
864691135213708928,864691135123045927,2
864691135338792934,864691135123726119,1
864691136372572808,864691135118527709,8
864691136092811700,864691135119891165,1
864691135397023777,864691135118565085,1
864691135920348592,864691135123021095,1
864691136288879811,864691135115424665,7
864691135929229780,864691135118565085,1
864691136911879022,864691135118658269,3
864691135584771181,864691135114582681,1
864691135343350193,864691135124538151,3
864691136102450037,864691135115424665,4
864691135656397250,864691135115233945,1
864691135504202845,864691135123162407,2
864691136990952597,864691135118559453,1
864691136010513326,864691135123358503,2
864691135755534034,864691135114679705,1
864691135447363412,864691135114911385,2
864691135491647583,864691135118565085,1
864691135346024351,864691135118458845,1
864691135843118051,864691135118559453,2
864691136421359255,864691135122346023,1
864691135989053642,864691135118720221,1
864691135945379620,864691135122836263,1
864691136310723162,864691135118631389,1
864691136974405916,864691135123358503,1
864691135929148884,864691135118899421,1
864691136106571225,864691135114679705,2
864691135464921406,864691135124213543,2
864691135662673604,864691135118565085,1
864691135210035392,864691135132671904,1
864691136145537844,864691135123726119,4
864691135208565881,864691135132937888,1
864691135618558569,864691135132667552,2
864691136236710159,864691135118756573,1
864691136091777847,864691135124690471,4
864691136135520651,864691135118658269,1
864691135463337373,864691135118458845,2
864691135864972414,864691135119891165,1
864691135059558811,864691135118186461,1
864691135504255325,864691135118741725,1
864691135750770985,864691135115122585,1
864691135342033605,864691135123188007,1
864691135878299475,864691135132667552,1
864691135475896640,864691135118658269,1
864691135618375785,864691135124690471,1
864691136619746267,864691135119099869,1
864691135940706561,864691135118565085,4
864691137199828801,864691135124690471,1
864691136041598974,864691135118532317,6
864691135593545515,864691135133008288,1
864691136595764898,864691135118704093,1
864691136287529411,864691135117818077,4
864691135778271405,864691135124209447,2
864691135702330235,864691135114911385,1
864691135739320945,864691135119120349,1
864691135294480310,864691135114679705,1
864691136274784781,864691135118741725,1
864691136419560599,864691135115233945,1
864691136390918672,864691135124690471,8
864691136065851288,864691135122799399,1
864691135987971075,864691135123951655,1
864691136619729371,864691135115424665,2
864691135843236323,864691135114458521,1
864691136314021181,864691135118847197,2
864691136371510920,864691135122799399,1
864691135777083565,864691135123342887,1
864691136287526083,864691135118658269,1
864691135741493355,864691135119891165,2
864691135359801176,864691135114911385,1
864691135865705436,864691135117818077,1
864691136194435030,864691135123951655,1
864691135346603423,864691135123045927,1
864691135858532142,864691135123162407,6
864691135997080234,864691135119891165,2
864691135101225504,864691135123342887,1
864691135865705436,864691135118749405,1
864691135985394595,864691135122799399,1
864691135498442515,864691135122799399,1
864691136229007953,864691135118658269,1
864691135693509823,864691135122799399,1
864691134950228988,864691135123726119,3
864691135848706654,864691135122799399,1
864691135404599278,864691135118706909,1
864691135338349286,864691135123162407,1
864691135397427233,864691135122799399,1
864691135106189901,864691135124209447,2
864691135662304240,864691135123508775,1
864691135656778946,864691135118527709,1
864691136050819827,864691135118720221,1
864691136275077133,864691135119866845,1
864691135989668096,864691135114582681,1
864691134965778719,864691135118756573,1
864691136618791131,864691135119866845,1
864691136011908515,864691135122799399,1
864691136933206751,864691135122799399,1
864691135751064873,864691135124538151,2
864691136363235554,864691135118847197,1
864691136579984916,864691135114679705,1
864691135619871887,864691135123162407,1
864691135156509540,864691135123188007,1
864691135565854551,864691135119630813,1
864691135946605348,864691135122799399,4
864691135060968091,864691135115424665,2
864691136905197490,864691135118741725,1
864691135584820856,864691135118631389,1
864691135786127300,864691135123951655,1
864691135385759061,864691135132671904,1
864691136389096464,864691135122799399,1
864691135440473160,864691135122799399,1
864691135816064591,864691135118756573,1
864691137022244206,864691135122470183,1
864691135810339532,864691135119866845,1
864691135464453957,864691135114458521,1
864691136903052978,864691135132671904,1
864691136196971596,864691135118756573,1
864691136421308311,864691135119891165,9
864691136723549693,864691135122836263,1
864691135211002816,864691135118629597,1
864691136144520244,864691135119891165,1
864691136240033084,864691135122942503,1
864691134918375690,864691135119099869,1
864691136379657429,864691135122799399,1
864691136040338174,864691135118651101,1
864691135717299738,864691135114679705,1
864691135743045739,864691135118527709,1
864691135743045739,864691135123162407,1
864691135737768580,864691135118527709,1
864691136288079043,864691135123358503,2
864691135683208946,864691135119099869,1
864691135213460280,864691135114175129,1
864691135541476804,864691135123951655,1
864691135114897305,864691135114911385,4
864691135235459417,864691135118847197,1
864691135518398090,864691135118658269,2
864691134940933475,864691135117808349,1
864691135362479175,864691135119630813,1
864691135013909398,864691135118458845,1
864691135865543557,864691135118491357,1
864691135867049948,864691135114628505,1
864691136911621105,864691135119270109,1
864691136371765640,864691135119099869,1
864691136423907119,864691135119099869,1
864691135890733193,864691135123276583,2
864691135359710040,864691135118458845,1
864691136093481396,864691135118651101,6
864691136595765410,864691135118658269,1
864691135582645101,864691135122799399,4
864691136297285915,864691135114175129,1
864691135758485838,864691135117808349,1
864691135867139205,864691135118186461,1
864691135771717963,864691135118658269,2
864691136681300590,864691135123233831,1
864691136335434931,864691135119099869,2
864691135585304131,864691135115424665,1
864691135508730633,864691135122350375,1
864691136026317113,864691135124538151,1
864691135685003703,864691135132937888,1
864691135431993904,864691135115225753,5
864691136137006717,864691135123275303,1
864691136314021181,864691135119099869,1
864691135276006373,864691135118658269,2
864691135014442486,864691135118658269,1
864691135938495029,864691135118658269,1
864691135755569618,864691135122346023,1
864691135867970070,864691135118658269,1
864691136602354129,864691135117808349,1
864691135114157721,864691135119099869,1
864691136334819763,864691135119099869,1
864691135989433091,864691135119099869,1
864691135441764424,864691135119099869,1
864691135277713893,864691135122942503,1
864691135698163733,864691135114911385,1
864691136288714947,864691135118847197,1
864691135478338728,864691135115424665,4
864691136913958385,864691135119099869,1
864691135890915721,864691135118658269,1
864691136144739636,864691135114679705,1
864691135387372629,864691135132769696,1
864691135717024026,864691135115122585,1
864691135515938259,864691135123342887,1
864691135196658986,864691135122346023,1
864691136118878116,864691135119991261,8
864691135995804074,864691135119866845,1
864691135369616377,864691135114628505,1
864691135971252837,864691135114628505,1
864691135384716762,864691135114628505,1
864691136119423768,864691135114628505,1
864691137199763521,864691135124538151,1
864691136913457905,864691135118491357,1
864691136101464181,864691135118847197,1
864691136298018587,864691135123726119,1
864691135429249072,864691135119099869,1
864691135865600133,864691135115225753,1
864691135106716493,864691135124401191,2
864691136118878116,864691135114679705,2
864691136391376511,864691135123330855,1
864691135699816469,864691135119099869,1
864691136021945336,864691135114628505,1
864691135233568857,864691135114628505,1
864691135083812599,864691135114628505,1
864691135617099113,864691135114628505,3
864691135740183915,864691135123276583,1
864691134949774844,864691135117808349,2
864691135941720065,864691135118831325,2
864691135948814433,864691135115225753,3
864691135405422062,864691135119099869,1
864691135376419401,864691135119924189,1
864691135715826836,864691135122330407,1
864691135479339462,864691135118565085,1
864691135975498607,864691135115233945,1
864691136143352884,864691135119891165,1
864691135646705903,864691135123726119,1
864691135856142382,864691135118674397,1
864691135920815280,864691135123162407,1
864691136138131325,864691135114628505,1
864691135867666053,864691135114628505,1
864691134989246586,864691135114628505,1
864691136380160725,864691135114628505,3
864691135865694940,864691135122836263,1
864691135123288103,864691135118658269,1
864691135703282043,864691135114628505,2
864691135990171904,864691135124401191,1
864691135939704580,864691135118899421,1
864691135463407005,864691135118571997,1
864691135787537348,864691135122346023,1
864691134917428746,864691135118741725,1
864691135696945562,864691135123726119,1
864691136524065681,864691135122942503,2
864691135124690471,864691135119991261,8
864691135755707597,864691135122942503,1
864691135213463352,864691135122769191,1
864691136328891370,864691135122836263,2
864691135741960340,864691135124209447,2
864691136534303906,864691135123330855,2
864691136924736740,864691135118674397,9
864691136177886982,864691135119270109,2
864691135336599785,864691135118491357,1
864691135654884802,864691135118458845,1
864691135014696182,864691135119866845,1
864691135753932237,864691135118831325,1
864691135718228372,864691135118749405,1
864691136310759002,864691135119099869,1
864691136237593871,864691135122346023,1
864691135725779883,864691135132667552,1
864691136618173403,864691135123275303,1
864691135564549655,864691135123342887,1
864691135305488551,864691135123162407,4
864691135975476291,864691135123508775,1
864691136967411918,864691135115424665,1
864691135742194027,864691135123358503,1
864691135781643600,864691135119866845,1
864691135384924378,864691135124209447,1
864691136390925695,864691135123162407,1
864691135441790024,864691135118674397,2
864691136451887615,864691135123330855,1
864691136724687613,864691135118631389,1
864691135764263222,864691135123726119,1
864691136065222808,864691135118658269,1
864691135697865882,864691135118658269,1
864691136967411918,864691135123162407,4
864691135616591051,864691135123621159,2
864691136057723352,864691135118899421,3
864691136196240342,864691135119866845,1
864691135701363067,864691135118658269,1
864691136967411918,864691135119866845,1
864691136033414843,864691135118658269,9
864691135564525079,864691135114458521,1
864691135214029880,864691135118658269,1
864691135954194952,864691135118658269,1
864691136453576959,864691135123162407,1
864691135811705292,864691135123276583,1
864691135384526554,864691135123951655,1
864691134950301180,864691135122836263,1
864691136967411918,864691135119891165,5
864691135784997939,864691135118658269,1
864691135685773495,864691135118658269,1
864691135374697545,864691135118658269,1
864691136595435682,864691135123275303,1
864691134991193210,864691135119891165,1
864691134942544483,864691135119120349,1
864691135948962401,864691135119630813,1
864691136673915271,864691135118658269,1
864691136924078820,864691135123162407,1
864691135067370308,864691135124538151,1
864691135362569287,864691135118658269,1
864691135975824495,864691135119891165,3
864691135687217632,864691135118658269,6
864691135662588656,864691135118658269,3
864691135256509871,864691135118658269,1
864691135654676418,864691135123285031,1
864691135456535658,864691135115424665,2
864691135428142066,864691135115424665,1
864691136906199986,864691135118831325,1
864691135732877972,864691135122330407,1
864691136813497459,864691135119891165,1
864691136041868630,864691135118658269,1
864691136065993624,864691135118658269,2
864691135123334695,864691135114679705,1
864691135654601154,864691135123275303,1
864691136011725731,864691135118658269,1
864691135118658269,864691135118658269,10
864691136335292339,864691135123162407,1
864691135367180281,864691135118559453,2
864691135618461289,864691135122942503,9
864691136423069487,864691135118722269,1
864691135742071403,864691135123358503,1
864691136904349618,864691135115225753,1
864691135106718029,864691135114911385,1
864691135102381856,864691135119891165,1
864691135992477377,864691135118658269,2
864691135971628901,864691135118456797,1
864691135909743529,864691135133008288,1
864691136675291527,864691135119120349,1
864691135778716589,864691135124538151,2
864691135235206489,864691135119924189,1
864691135749414953,864691135118658269,1
864691135756246989,864691135123275303,1
864691135840040851,864691135119924189,1
864691135683161540,864691135118658269,5
864691135716032538,864691135118565085,1
864691136672634247,864691135122836263,1
864691136723574013,864691135123358503,1
864691135215281464,864691135118658269,1
864691135618694543,864691135122346023,4
864691135369616377,864691135122470183,1
864691135760124605,864691135122799399,1
864691136058945496,864691135115122585,1
864691135912416169,864691135114679705,1
864691135273297681,864691135119891165,2
864691135592059147,864691135118128861,1
864691136823586414,864691135114911385,1
864691135014442486,864691135123330855,7
864691135561792481,864691135119866845,4
864691135773184843,864691135118658269,1
864691136009312428,864691135118658269,1
864691136390718736,864691135114628505,2
864691135727138623,864691135118559453,1
864691135493316191,864691135122942503,3
864691135875965838,864691135118491357,5
864691136914542577,864691135114679705,1
864691135755564754,864691135118658269,1
864691135489186362,864691135118658269,1
864691135726135615,864691135118527709,1
864691135495156112,864691135124213543,1
864691136907489134,864691135123358503,3
864691135474655296,864691135118571997,1
864691135996740010,864691135123021095,1
864691135182658818,864691135132937888,1
864691135683731954,864691135123342887,1
864691135615784553,864691135117836509,1
864691136968568014,864691135115225753,1
864691135960960714,864691135123330855,1
864691135431456816,864691135115424665,5
864691135987163139,864691135118722269,1
864691135941130662,864691135114911385,1
864691135742194027,864691135118527709,1
864691136391226239,864691135118899421,1
864691136138909053,864691135119099869,1
864691135274708753,864691135119924189,4
864691135347849631,864691135119120349,9
864691135123962407,864691135118674397,4
864691135779199584,864691135115225753,1
864691135698509077,864691135118658269,1
864691136137427325,864691135123029287,1
864691135617749647,864691135118658269,1
864691134966297119,864691135118565085,8
864691135994055361,864691135122942503,1
864691135273918993,864691135118658269,1
864691135493149927,864691135118831325,1
864691136370838408,864691135118571997,1
864691135492636511,864691135123104551,1
864691135586219132,864691135114175129,1
864691135431993904,864691135114679705,5
864691135717528346,864691135114679705,2
864691135595712299,864691135124401191,1
864691135493149927,864691135124690471,6
864691135728043839,864691135124401191,5
864691135386303317,864691135122769191,1
864691135410077897,864691135123330855,7
864691135749595945,864691135123029287,1
864691136419555479,864691135122836263,1
864691135133925536,864691135118831325,1
864691135540837106,864691135117818077,1
864691135512346064,864691135118565085,1
864691136273638157,864691135118658269,1
864691136361936354,864691135118674397,1
864691136311001690,864691135132937888,3
864691135570693357,864691135122346023,1
864691135976425327,864691135114911385,1
864691136311807037,864691135118706909,1
864691135214260280,864691135123726119,2
864691135293586956,864691135118658269,1
864691135852190919,864691135118741725,1
864691135343697841,864691135118565085,1
864691136904761266,864691135118756573,2
864691135213508920,864691135132667552,1
864691135308076614,864691135132671904,1
864691136066514072,864691135122836263,1
864691136195092182,864691135119099869,1
864691135123962407,864691135118831325,1
864691134991150202,864691135114679705,1
864691135123962407,864691135123162407,1
864691135014184182,864691135119120349,1
864691135561072865,864691135118458845,1
864691135520091274,864691135118229725,1
864691135106716493,864691135122942503,1
864691135448581460,864691135115225753,1
864691135940073217,864691135123358503,1
864691135614143947,864691135123162407,1
864691135491924327,864691135122836263,1
864691136005150154,864691135123045927,1
864691135276975333,864691135132667552,1
864691136005150154,864691135118674397,3
864691135410186441,864691135115424665,1
864691135726077611,864691135118559453,1
864691135841410787,864691135132671904,5
864691135777566816,864691135114175129,1
864691135809432524,864691135122330407,2
864691135947435873,864691135118456797,1
864691136976247324,864691135124209447,1
864691135685093362,864691135118491357,2
864691135741998484,864691135114679705,1
864691135354899919,864691135118458845,4
864691135864720860,864691135119866845,1
864691135343754181,864691135119991261,1
864691136866259822,864691135118527709,3
864691135969738085,864691135119891165,1
864691135810656029,864691135115225753,1
864691136119194648,864691135114911385,1
864691135429971248,864691135118186461,1
864691136276470285,864691135124401191,2
864691135465614149,864691135124209447,1
864691135779449533,864691135132937888,3
864691135499765267,864691135119991261,1
864691136273908237,864691135114911385,1
864691135464921406,864691135118831325,8
864691135214970752,864691135123726119,2
864691134885469690,864691135114911385,2
864691135215108736,864691135123358503,1
864691135741991828,864691135124213543,3
864691135469473164,864691135123180583,1
864691135940896678,864691135119099869,1
864691136521567121,864691135114458521,1
864691135878689363,864691135124401191,1
864691135475707712,864691135118565085,2
864691135778716589,864691135114628505,1
864691135942135412,864691135122836263,1
864691135756096717,864691135123021095,1
864691135465304477,864691135119991261,5
864691135699818005,864691135123285031,1
864691135994399434,864691135118756573,1
864691136040390654,864691135118458845,1
864691136743457884,864691135117808349,1
864691136124604710,864691135122799399,1
864691135346287519,864691135118559453,1
864691136665155294,864691135115122585,7
864691135566499415,864691135123021095,2
864691136425751087,864691135119270109,1
864691135565433367,864691135122769191,1
864691136024918841,864691135119891165,2
864691135100708640,864691135132671904,1
864691136093470132,864691135119099869,1
864691135394962677,864691135114628505,1
864691136138695549,864691135119924189,2
864691135684225778,864691135122836263,1
864691135856028206,864691135114911385,1
864691136665155294,864691135117836509,2
864691135654570690,864691135122318119,1
864691136665155294,864691135122836263,2
864691136389687312,864691135114679705,1
864691135989053642,864691135123188007,1
864691136209011132,864691135123233831,4
864691135977221743,864691135124690471,2
864691135163366445,864691135122836263,1
864691135641358139,864691135119866845,1
864691136298913563,864691135119924189,1
864691135472746290,864691135118674397,1
864691135952858659,864691135132671904,1
864691136814699379,864691135119924189,2
864691136579556628,864691135118527709,2
864691135878708307,864691135115122585,2
864691135685079479,864691135132671904,1
864691135864786046,864691135123045927,1
864691135689106912,864691135118831325,1
864691136110965176,864691135118229725,1
864691135573326317,864691135119866845,11
864691135572296229,864691135118704093,1
864691136723867389,864691135119866845,1
864691135466333509,864691135124401191,1
864691136444757891,864691135118706909,1
864691135715256980,864691135123726119,2
864691135926605582,864691135119866845,1
864691136009890476,864691135123358503,2
864691135502772405,864691135114911385,1
864691136268937972,864691135123330855,1
864691135376523337,864691135119891165,1
864691136215646142,864691135122350375,1
864691135394969333,864691135123045927,1
864691135135053728,864691135124690471,4
864691135135053728,864691135124401191,2
864691136903387826,864691135124209447,2
864691135294950838,864691135123508775,1
864691135593040395,864691135119866845,1
864691136664648158,864691135124538151,1
864691135234633049,864691135123285031,1
864691136236713999,864691135114911385,1
864691135859777128,864691135114911385,2
864691135866143964,864691135118458845,3
864691136524031377,864691135123951655,1
864691135123275303,864691135123275303,7
864691136966673870,864691135123162407,4
864691135717275162,864691135124690471,2
864691135277517797,864691135124690471,2
864691135817279055,864691135122318119,2
864691135235196249,864691135119924189,1
864691137199772993,864691135122836263,1
864691135811503564,864691135122942503,5
864691136136356747,864691135122942503,3
864691136210344892,864691135118720221,1
864691136006921674,864691135123029287,1
864691135571820013,864691135119099869,1
864691136145382708,864691135119891165,5
864691136024984377,864691135132937888,1
864691136137210507,864691135119891165,1
864691135751009577,864691135118741725,4
864691135118899421,864691135118899421,5
864691136906148530,864691135119924189,4
864691136126700582,864691135118847197,1
864691136177312518,864691135119891165,1
864691135568283116,864691135119891165,1
864691135938231861,864691135119120349,1
864691135886099824,864691135123285031,1
864691135851325383,864691135118756573,1
864691135808188445,864691135122799399,1
864691135927343374,864691135122346023,1
864691135576548894,864691135115122585,1
864691136945772767,864691135118446813,1
864691135013909398,864691135119866845,4
864691136675691143,864691135119891165,1
864691135726486591,864691135119891165,2
864691135940881830,864691135119630813,3
864691135772243787,864691135118527709,1
864691135919921328,864691135118831325,6
864691135762156598,864691135119891165,7
864691135293605558,864691135119891165,2
864691135271463077,864691135132769696,1
864691136116186788,864691135117818077,3
864691135619371663,864691135123358503,1
864691135281227425,864691135115424665,1
864691136039368702,864691135119891165,1
864691136618477709,864691135123951655,1
864691135133594784,864691135122799399,5
864691135386409345,864691135117836509,1
864691136595955362,864691135132667552,1
864691135916945510,864691135118658269,1
864691135715256980,864691135123330855,2
864691135398717217,864691135118527709,9
864691135868111237,864691135119891165,1
864691135488891194,864691135122346023,2
864691136058349528,864691135123275303,3
864691135477530176,864691135118756573,3
864691135593829163,864691135118458845,1
864691135119891165,864691135122942503,4
864691136110853457,864691135123233831,1
864691135499385107,864691135117818077,1
864691135277328613,864691135118651101,1
864691136973712924,864691135122836263,1
864691136967411918,864691135118674397,2
864691135892278665,864691135132769696,1
864691135810643485,864691135114628505,3
864691135654159810,864691135132671904,2
864691136362414050,864691135114679705,1
864691135518377427,864691135118831325,2
864691135640398651,864691135119891165,1
864691136205491390,864691135117808349,1
864691135757266130,864691135118704093,1
864691136422825775,864691135118741725,1
864691136005816266,864691135123951655,1
864691135700274555,864691135119891165,6
864691135946994785,864691135124209447,5
864691135586224504,864691135119891165,1
864691135499426835,864691135119891165,1
864691136310663258,864691135118741725,1
864691135562474977,864691135123285031,1
864691136195432012,864691135118847197,1
864691135182201346,864691135123205671,1
864691135867139205,864691135119891165,1
864691135810643485,864691135123285031,1
864691136053537779,864691135118704093,1
864691135737744260,864691135122836263,1
864691135538086002,864691135118756573,1
864691135916596326,864691135118720221,3
864691135702609275,864691135123508775,1
864691136126005030,864691135119891165,1
864691136024809017,864691135122799399,1
864691135469473164,864691135123162407,1
864691135977801539,864691135115424665,1
864691136125433894,864691135123726119,1
864691135118559453,864691135118559453,10
864691135502629698,864691135132937120,1
864691134966301983,864691135117836509,1
864691135726893887,864691135118651101,1
864691136330882026,864691135124538151,1
864691135656147138,864691135132667552,1
864691136043017302,864691135123188007,1
864691135382590938,864691135119891165,5
864691135864720510,864691135118651101,1
864691137020102766,864691135132769696,1
864691135853281223,864691135124690471,12
864691135431677744,864691135114628505,3
864691135741023851,864691135114911385,1
864691135684949431,864691135122836263,1
864691135582638445,864691135119891165,1
864691135956050184,864691135114175129,1
864691135717286170,864691135115122585,1
864691135274708753,864691135118847197,2
864691135740969323,864691135123205671,1
864691135577855006,864691135122836263,10
864691135569866988,864691135114679705,4
864691135294110220,864691135118446813,1
864691135849300318,864691135124690471,1
864691135779424445,864691135122836263,1
864691136579556628,864691135119891165,1
864691136236910351,864691135118631389,3
864691136945746399,864691135123342887,1
864691135338061798,864691135132667552,1
864691136487222802,864691135114582681,3
864691136424516399,864691135119891165,1
864691135575207108,864691135118706909,3
864691136436383902,864691135115122585,1
864691136453525503,864691135119891165,1
864691135783115344,864691135119891165,2
864691136032676027,864691135115424665,1
864691135066114372,864691135114679705,1
864691135927750100,864691135118750685,1
864691136389659408,864691135118658269,1
864691135517315795,864691135118658269,1
864691135838640275,864691135123951655,4
864691135587743612,864691135115122585,2
864691135195322410,864691135118750685,1
864691135989586435,864691135122346023,1
864691136951558879,864691135118458845,2
864691135303892903,864691135124401191,1
864691135693669823,864691135114582681,1
864691136275228862,864691135115122585,1
864691135939276289,864691135114679705,1
864691135398955809,864691135114679705,1
864691135662886384,864691135119120349,2
864691136006962634,864691135123162407,4
864691135210178169,864691135114679705,11
864691135801604706,864691135118458845,1
864691135701311867,864691135118741725,1
864691134940025955,864691135118458845,2
864691136602781393,864691135132937120,1
864691135195486250,864691135123233831,1
864691135954272035,864691135117836509,1
864691136092950964,864691135118229725,1
864691135060849051,864691135118229725,1
864691135594451755,864691135119891165,1
864691135852772295,864691135122318119,3
864691135114279833,864691135122836263,1
864691135465217861,864691135115122585,1
864691135699346965,864691135114679705,2
864691135941149812,864691135132671904,1
864691135470945874,864691135119991261,1
864691135162905389,864691135123330855,1
864691135587743612,864691135124401191,1
864691136058116568,864691135115225753,1
864691136021841400,864691135124213543,1
864691134964823071,864691135119891165,1
864691135640985028,864691135118532317,2
864691136422827311,864691135119866845,1
864691135455819114,864691135118847197,1
864691136423871791,864691135118565085,2
864691135105114957,864691135114911385,1
864691135838600339,864691135117808349,1
864691135701217659,864691135123029287,1
864691135868106373,864691135122942503,4
864691135994827946,864691135118559453,1
864691135274830353,864691135114679705,1
864691135567206743,864691135115122585,2
864691135786334660,864691135115233945,1
864691135741998484,864691135122836263,1
864691135939704580,864691135132956064,1
864691135808390685,864691135119891165,1
864691135615086795,864691135122836263,1
864691136136356747,864691135119891165,1
864691135361332295,864691135122346023,2
864691135058836379,864691135123045927,1
864691135374498889,864691135115122585,1
864691135569519494,864691135118651101,1
864691135684468372,864691135118458845,1
864691136675885191,864691135118674397,1
864691136134710411,864691135122942503,1
864691136314021181,864691135118229725,5
864691135117818077,864691135117818077,15
864691135947805988,864691135114911385,2
864691135764263222,864691135123330855,2
864691135478400936,864691135114679705,1
864691135619976335,864691135123726119,2
864691135946529316,864691135114458521,1
864691135119991261,864691135119991261,11
864691135581607021,864691135123072295,1
864691136966932942,864691135123285031,1
864691136135527819,864691135122836263,1
864691135468926546,864691135118658269,1
864691136391229567,864691135119866845,3
864691134942296931,864691135123951655,1
864691135137370137,864691135119891165,1
864691135938506549,864691135118756573,1
864691135345166239,864691135118741725,1
864691136484975916,864691135114628505,1
864691135404419566,864691135122836263,1
864691136484525100,864691135122836263,1
864691135387915861,864691135115122585,2
864691135987554307,864691135122942503,1
864691135209080697,864691135132671904,1
864691135281200289,864691135118831325,5
864691136309705562,864691135123358503,1
864691135340169446,864691135114911385,7
864691135428509488,864691135122346023,1
864691135981790154,864691135122799399,1
864691135585935740,864691135115225753,1
864691135776614573,864691135123951655,1
864691135800752226,864691135132671904,1
864691136522562705,864691135115122585,1
864691136011458734,864691135124401191,1
864691135938236676,864691135123335463,1
864691135463526974,864691135115122585,1
864691135764631862,864691135119924189,1
864691135213591168,864691135118631389,1
864691135948617313,864691135123330855,1
864691135614361291,864691135114679705,1
864691135778128317,864691135119120349,1
864691135346748063,864691135124213543,3
864691135773201739,864691135114628505,1
864691135376409161,864691135119991261,1
864691136453576959,864691135118831325,4
864691135540002930,864691135122836263,1
864691135183968514,864691135118831325,1
864691135510506448,864691135123227687,1
864691135124213543,864691135124401191,2
864691135976177219,864691135132671904,3
864691135135447065,864691135122330407,1
864691135490919783,864691135118720221,1
864691135867000540,864691135124401191,1
864691135304431271,864691135119924189,1
864691135865589893,864691135123342887,1
864691135405733870,864691135115424665,1
864691135124213543,864691135122942503,1
864691136905147314,864691135114628505,1
864691135698407445,864691135124538151,1
864691135276413157,864691135114679705,1
864691136812333171,864691135117808349,1
864691137055668086,864691135123045927,1
864691135101921568,864691135118527709,1
864691135447340946,864691135119866845,1
864691136312233050,864691135122318119,1
864691135940786086,864691135115122585,1
864691135689175008,864691135114679705,2
864691135751064873,864691135122836263,4
864691135592575755,864691135118559453,1
864691135211103680,864691135123342887,2
864691136111408312,864691135119630813,1
864691136136356747,864691135123162407,2
864691135308319046,864691135119120349,1
864691135564909847,864691135118741725,2
864691136053803251,864691135124690471,1
864691136391349631,864691135117818077,1
864691135919095728,864691135118456797,1
864691136423709743,864691135123162407,1
864691135837469843,864691135124690471,2
864691135738112916,864691135117808349,1
864691136742737756,864691135132667552,1
864691136119405848,864691135132671904,2
864691135304165287,864691135123726119,2
864691135810656029,864691135118229725,1
864691136009510574,864691135123162407,2
864691136445933187,864691135118559453,1
864691136881094766,864691135118658269,1
864691135777999200,864691135122836263,4
864691135995487402,864691135118756573,2
864691135478400936,864691135115122585,1
864691135742366827,864691135117818077,2
864691136388561168,864691135118629597,1
864691136662440670,864691135123330855,2
864691136973967644,864691135118458845,2
864691136811814003,864691135132671904,1
864691135184087554,864691135118831325,1
864691135890781577,864691135124690471,4
864691135478338728,864691135122942503,1
864691135346052255,864691135123205671,1
864691135618718607,864691135118750685,1
864691135447839172,864691135123045927,1
864691136420303511,864691135123029287,1
864691135586392440,864691135119991261,2
864691135463496093,864691135122942503,1
864691136907516526,864691135123342119,2
864691135662881220,864691135123029287,1
864691135257145007,864691135119866845,2
864691136004733130,864691135114679705,1
864691135878154067,864691135119891165,1
864691135810345164,864691135122346023,1
864691135725779883,864691135124209447,1
864691135759185486,864691135114911385,1
864691136134454411,864691135118749405,1
864691135355992271,864691135114911385,1
