pre,post,n
864691136107980761,864691135118749405,1
864691135410186441,864691135118847197,1
864691136925756490,864691135123342119,1
864691135756990674,864691135122836263,7
864691135701272610,864691135118831325,1
864691135641342267,864691135119891165,2
864691137197302081,864691135118571997,1
864691135503644226,864691135122836263,1
864691134885681914,864691135115233945,1
864691136227327057,864691135114679705,1
864691136974542620,864691135118458845,1
864691136262786788,864691135123233831,4
864691136381443541,864691135122731815,1
864691135868466710,864691135132937120,1
864691135565546007,864691135123275303,1
864691135811503564,864691135118831325,2
864691136925377098,864691135118565085,1
864691136084053868,864691135114911385,2
864691135868106373,864691135123358503,7
864691136043283030,864691135124690471,2
864691135942078886,864691135124213543,6
864691134965299487,864691135118674397,2
864691135294914486,864691135115424665,4
864691135118565085,864691135118565085,16
864691135659219074,864691135114582681,1
864691135294719158,864691135118831325,1
864691135689617376,864691135114175129,1
864691136381031125,864691135118674397,11
864691136452075519,864691135118720221,1
864691136675020935,864691135114679705,1
864691135942134900,864691135123162407,3
864691134942595939,864691135118847197,7
864691135389122689,864691135115225753,4
864691135939806724,864691135123358503,5
864691135385013978,864691135122942503,4
864691135118720221,864691135118720221,17
864691135478171048,864691135119924189,1
864691135728043839,864691135118831325,5
864691135124213543,864691135119991261,1
864691135376111689,864691135119866845,3
864691135618718607,864691135118458845,1
864691136954077151,864691135119991261,1
864691135686386615,864691135123508775,3
864691136380266965,864691135118831325,1
864691135954665480,864691135118750685,1
864691136196202472,864691135119924189,1
864691136286580163,864691135123021095,1
864691135405700334,864691135124690471,2
864691135742998379,864691135124401191,3
864691135779449533,864691135117818077,2
864691135398979873,864691135122836263,1
864691135478334888,864691135124538151,4
864691135645751791,864691135118722269,3
864691135384641259,864691135123021095,1
864691135779168352,864691135123072295,1
864691136053649651,864691135118831325,1
864691135939704580,864691135115225753,4
864691135755647181,864691135114911385,2
864691135164312877,864691135118706909,1
864691135772699467,864691135114679705,1
864691135864743132,864691135122836263,1
864691136523971473,864691135122470183,1
864691136371203976,864691135118186461,6
864691135809456669,864691135124401191,1
864691135341815493,864691135122350375,1
864691135384344043,864691135122836263,1
864691135656147138,864691135123162407,2
864691135573332005,864691135114679705,2
864691135695248831,864691135118831325,1
864691136330288874,864691135123342119,1
864691135800708450,864691135123233831,1
864691135122942503,864691135122942503,7
864691134886659834,864691135118629597,1
864691135478254248,864691135114679705,3
864691135810618909,864691135124690471,2
864691136618441691,864691135123180583,2
864691135164408365,864691135118559453,2
864691136618441691,864691135123342119,8
864691135947175265,864691135118658269,1
864691136619775451,864691135118722269,1
864691135214568504,864691135118559453,1
864691135113649561,864691135122470183,2
864691136390676343,864691135114628505,1
864691136238610447,864691135119924189,1
864691135869603606,864691135118847197,1
864691135446803602,864691135123045927,1
864691136812955251,864691135118720221,4
864691136740890972,864691135118720221,1
864691136085464684,864691135118565085,7
864691135384344043,864691135118532317,1
864691135307957062,864691135122799399,1
864691136275309502,864691135114628505,3
864691135211107264,864691135123342887,1
864691135293240076,864691135118629597,1
864691135304165287,864691135118527709,1
864691136090100279,864691135118674397,1
864691135617989737,864691135123285031,1
864691135593200395,864691135124401191,1
864691135342721989,864691135114911385,2
864691136974672156,864691135118197725,1
864691135196633642,864691135114679705,1
864691136524134033,864691135119991261,1
864691135858273326,864691135124690471,2
864691136390366591,864691135115122585,1
864691135360840792,864691135124690471,2
864691135442044744,864691135114175129,1
864691135988766979,864691135118128861,1
864691135387039317,864691135123358503,1
864691135751149353,864691135124690471,7
864691134966710559,864691135119991261,1
864691135921108995,864691135123104551,1
864691136952941279,864691135115233945,1
864691135386222165,864691135123342887,1
864691136603527633,864691135119866845,1
864691135539634290,864691135124209447,1
864691136422871599,864691135123342887,1
864691136913170929,864691135122346023,3
864691135520071306,864691135124690471,3
864691135478795974,864691135118559453,1
864691135786970564,864691135118559453,2
864691135135163552,864691135124401191,2
864691136329658090,864691135132937120,1
864691135272979217,864691135123104551,1
864691135739738481,864691135124401191,1
864691136331466730,864691135119991261,1
864691135694516927,864691135119891165,1
864691135397464865,864691135118847197,2
864691135570730886,864691135118527709,1
864691135741210987,864691135118458845,1
864691135730941369,864691135122346023,1
864691135511861968,864691135122836263,2
864691135490636090,864691135124690471,9
864691135875274638,864691135123276583,1
864691135348298967,864691135118458845,2
864691135272844305,864691135118458845,1
864691136228244561,864691135122350375,1
864691135475517248,864691135118229725,1
864691135526905947,864691135119891165,1
864691135570814445,864691135132671904,1
864691135383857387,864691135118706909,1
864691135360737112,864691135123951655,2
864691136058963160,864691135115225753,1
864691135614856651,864691135118847197,1
864691136912667121,864691135118128861,1
864691135340983749,864691135132671904,1
864691136084077676,864691135117818077,1
864691135123233831,864691135123233831,4
864691135866143964,864691135118658269,1
864691135926572046,864691135117818077,1
864691136560184226,864691135118458845,2
864691136664082654,864691135122942503,1
864691136237620239,864691135123021095,1
864691135582787949,864691135114679705,1
864691136595999650,864691135118527709,1
864691135587714428,864691135124690471,3
864691135488122564,864691135118458845,1
864691136540364962,864691135118458845,5
864691135866987646,864691135124401191,5
864691135503163202,864691135114679705,2
864691136138981501,864691135119991261,1
864691136296747291,864691135122799399,1
864691136007059658,864691135118831325,9
864691135214260280,864691135118674397,1
864691135135485209,864691135115122585,1
864691136371583368,864691135123233831,1
864691136320939742,864691135132684960,1
864691136445933187,864691135118658269,4
864691136058810328,864691135114679705,4
864691135865689052,864691135123045927,7
864691135852772295,864691135123162407,1
864691135212508096,864691135115424665,4
864691135408181961,864691135118559453,1
864691135347733151,864691135124690471,1
864691135058889115,864691135118458845,1
864691136603935441,864691135118831325,25
864691136451069183,864691135119866845,2
864691136675885191,864691135122942503,2
864691135447580756,864691135118559453,1
864691135540488818,864691135114679705,2
864691136058810328,864691135124690471,5
864691136057180632,864691135118756573,2
864691135518383754,864691135123342887,4
864691135294539702,864691135118674397,1
864691135469515148,864691135118847197,6
864691136724412925,864691135123951655,1
864691135135661337,864691135119866845,2
864691135183493378,864691135123335463,3
864691135909748393,864691135119891165,2
864691135942133108,864691135118186461,1
864691135842920419,864691135122318119,1
864691136923682532,864691135122799399,2
864691135698460826,864691135124690471,3
864691135194446634,864691135122799399,1
864691135015822742,864691135123162407,1
864691135884346480,864691135132671904,1
864691135440463176,864691135118559453,2
864691136913993713,864691135124690471,4
864691136444749187,864691135118458845,2
864691136287523011,864691135124213543,1
864691136196227048,864691135119891165,1
864691135462547357,864691135119991261,2
864691135563024097,864691135122470183,1
864691136145828404,864691135115122585,3
864691135689787360,864691135124690471,6
864691135888747657,864691135119099869,1
864691135892278665,864691135118847197,1
864691135942056358,864691135118629597,1
864691136053342195,864691135124690471,1
864691135569974918,864691135118741725,1
864691135511984592,864691135114628505,1
864691135810047773,864691135124538151,1
864691135137427993,864691135122836263,1
864691136135405963,864691135122330407,2
864691135214003584,864691135124538151,1
864691136912964081,864691135114679705,4
864691135737897092,864691135114911385,1
864691136274765325,864691135118741725,2
864691135920894128,864691135118847197,1
864691135698480026,864691135122836263,1
864691135014442486,864691135132937888,1
864691136065258648,864691135118458845,1
864691135949056097,864691135118847197,2
864691136373149064,864691135119099869,1
864691135397170209,864691135114679705,1
864691135891796617,864691135122318119,1
864691135341626545,864691135123275303,1
864691135477670312,864691135119891165,1
864691135067150404,864691135123276583,1
864691136021587448,864691135114679705,1
864691135990277376,864691135115225753,1
864691136333757107,864691135118658269,2
864691136665020894,864691135118128861,1
864691135509647369,864691135123330855,1
864691135476733096,864691135118741725,1
864691135269732773,864691135118491357,1
864691134940025955,864691135118186461,4
864691135335547369,864691135119891165,1
864691135809860300,864691135119866845,1
864691135137446681,864691135124213543,2
864691135910508713,864691135123205671,1
864691136138628477,864691135123162407,1
864691136090044983,864691135118456797,1
864691134918174986,864691135118629597,1
864691135499283987,864691135119866845,5
864691135839260051,864691135115424665,1
864691135885170544,864691135114911385,4
864691135842122467,864691135123285031,1
864691135416106426,864691135118571997,1
864691136418877079,864691135118456797,1
864691134918754058,864691135123358503,11
864691136952402911,864691135122330407,1
864691135928250894,864691135123342119,1
