arm,run,phase,after_trial,rate_cond,rate_noncond,B0_cond,B0_noncond,R_cond,R_noncond
intact_av,0,baseline,0,79.86062717770035,64.45378151260505,80.91753774680605,66.48926237161533,0.9869384239988517,0.9693863221457659
intact_av,0,baseline,1,81.42857142857143,67.53501400560225,80.91753774680605,66.48926237161533,1.0063154872972584,1.0157281280719
intact_av,0,baseline,2,81.46341463414635,67.47899159663866,80.91753774680605,66.48926237161533,1.0067460887038897,1.014885549782334
intact_av,0,acq,1,73.83275261324042,64.6218487394958,80.91753774680605,66.48926237161533,0.9124443806516433,0.9719140570144642
intact_av,0,acq,2,67.8397212543554,64.67787114845939,80.91753774680605,66.48926237161533,0.8383809387110663,0.9727566353040302
intact_av,0,acq,3,63.65853658536586,65.54621848739497,80.91753774680605,66.48926237161533,0.786708769915315,0.9858165987923044
intact_av,0,acq,4,58.32752613240418,64.84593837535014,80.91753774680605,66.48926237161533,0.720826754700732,0.9752843701727284
intact_av,0,acq,6,48.98954703832752,62.941176470588246,80.91753774680605,66.48926237161533,0.6054255777235538,0.946636708327482
intact_av,0,acq,8,43.62369337979094,65.406162464986,80.91753774680605,66.48926237161533,0.5391129611023395,0.9837101530683892
intact_av,0,acq,10,38.78048780487805,63.781512605042025,80.91753774680605,66.48926237161533,0.4792593655805942,0.9592753826709731
intact_av,0,acq,12,36.09756097560976,63.24929971988796,80.91753774680605,66.48926237161533,0.44610305726998706,0.9512708889200954
intact_av,0,ext,1,35.78397212543554,61.84873949579833,80.91753774680605,66.48926237161533,0.44222764461030567,0.9302064316809436
intact_av,0,ext,2,44.00696864111499,63.753501400560225,80.91753774680605,66.48926237161533,0.5438495765752834,0.95885409352619
intact_av,0,ext,3,51.0801393728223,64.73389355742297,80.91753774680605,66.48926237161533,0.6312616621214295,0.9735992135935962
intact_av,0,ext,4,54.14634146341464,62.941176470588246,80.91753774680605,66.48926237161533,0.6691545859049807,0.946636708327482
intact_av,0,ext,5,59.30313588850175,66.72268907563026,80.91753774680605,66.48926237161533,0.7328835940864074,1.0035107428731918
intact_av,0,ext,6,62.54355400696865,66.9747899159664,80.91753774680605,66.48926237161533,0.7729295249031147,1.0073023451762393
intact_av,0,ext,7,63.832752613240416,65.21008403361346,80.91753774680605,66.48926237161533,0.7888617769484713,0.980761129054908
intact_av,0,ext,8,65.6794425087108,65.60224089635855,80.91753774680605,66.48926237161533,0.8116836514999283,0.9866591770818705
intact_av,1,baseline,0,80.62717770034844,66.07843137254903,80.33681765389083,65.74229691876752,1.0036142836489808,1.0051129100979974
intact_av,1,baseline,1,79.54703832752614,64.98599439775911,80.33681765389083,65.74229691876752,0.9901691484747722,0.9884959522795057
intact_av,1,baseline,2,80.83623693379792,66.1624649859944,80.33681765389083,65.74229691876752,1.006216567876247,1.0063911376224968
intact_av,1,acq,1,75.19163763066203,67.22689075630252,80.33681765389083,65.74229691876752,0.9359548937400607,1.0225820195994886
intact_av,1,acq,2,67.42160278745645,63.22128851540617,80.33681765389083,65.74229691876752,0.8392366632933352,0.9616531742650191
intact_av,1,acq,3,64.42508710801394,66.9747899159664,80.33681765389083,65.74229691876752,0.8019372560358536,1.0187473370259905
intact_av,1,acq,4,57.66550522648084,63.5014005602241,80.33681765389083,65.74229691876752,0.7177967326875813,0.9659139326800169
intact_av,1,acq,6,50.487804878048784,65.35014005602241,80.33681765389083,65.74229691876752,0.6284516408847767,0.9940349382190028
intact_av,1,acq,8,42.613240418118465,63.69747899159664,80.33681765389083,65.74229691876752,0.530432268324418,0.9688964635705154
intact_av,1,acq,10,38.9198606271777,64.48179271708685,80.33681765389083,65.74229691876752,0.4844585803093826,0.9808265871325096
intact_av,1,acq,12,37.247386759581886,65.65826330532214,80.33681765389083,65.74229691876752,0.46364030649125343,0.9987217724755005
intact_av,1,ext,1,36.82926829268293,63.36134453781513,80.33681765389083,65.74229691876752,0.45843573803672116,0.9637835534725179
intact_av,1,ext,2,44.45993031358885,63.865546218487395,80.33681765389083,65.74229691876752,0.5534191123319357,0.9714529186195141
intact_av,1,ext,3,50.383275261324044,63.61344537815127,80.33681765389083,65.74229691876752,0.6271504987711435,0.967618236046016
intact_av,1,ext,4,55.156794425087114,65.32212885154063,80.33681765389083,65.74229691876752,0.6865693219603874,0.9936088623775031
intact_av,1,ext,5,57.38675958188154,62.801120448179276,80.33681765389083,65.74229691876752,0.7143270203845599,0.9552620366425222
intact_av,1,ext,6,61.707317073170735,65.77030812324931,80.33681765389083,65.74229691876752,0.7681075610813937,1.0004260758414998
intact_av,1,ext,7,63.62369337979095,64.90196078431373,80.33681765389083,65.74229691876752,0.7919618331646668,0.9872177247550062
