arm,run,phase,after_trial,mbon_rate_hz,B0,R
intact_av,0,baseline,0,78.3779761904762,76.90476190476191,1.0191563467492262
intact_av,0,baseline,1,78.13988095238095,76.90476190476191,1.0160603715170278
intact_av,0,baseline,2,74.19642857142857,76.90476190476191,0.9647832817337461
intact_av,0,acq,1,70.04464285714286,76.90476190476191,0.9107972136222909
intact_av,0,acq,2,59.41964285714286,76.90476190476191,0.7726393188854489
intact_av,0,acq,3,53.00595238095238,76.90476190476191,0.6892414860681114
intact_av,0,acq,4,48.705357142857146,76.90476190476191,0.6333204334365324
intact_av,0,acq,6,40.75892857142858,76.90476190476191,0.5299922600619196
intact_av,0,acq,8,35.80357142857143,76.90476190476191,0.46555727554179566
intact_av,0,acq,10,31.934523809523814,76.90476190476191,0.41524767801857587
intact_av,0,acq,12,30.87797619047619,76.90476190476191,0.40150928792569657
intact_av,0,ext,1,30.476190476190478,76.90476190476191,0.3962848297213622
intact_av,0,ext,2,36.54761904761905,76.90476190476191,0.47523219814241485
intact_av,0,ext,3,41.13095238095239,76.90476190476191,0.5348297213622292
intact_av,0,ext,4,44.67261904761905,76.90476190476191,0.5808823529411764
intact_av,0,ext,5,48.30357142857143,76.90476190476191,0.6280959752321981
intact_av,0,ext,6,51.29464285714286,76.90476190476191,0.6669891640866873
intact_av,0,ext,7,53.00595238095238,76.90476190476191,0.6892414860681114
intact_av,0,ext,8,57.35119047619048,76.90476190476191,0.7457430340557275
intact_av,1,baseline,0,76.14583333333334,77.3313492063492,0.9846696600384864
intact_av,1,baseline,1,78.46726190476191,77.3313492063492,1.0146889031430406
intact_av,1,baseline,2,77.38095238095238,77.3313492063492,1.0006414368184735
intact_av,1,acq,1,67.73809523809524,77.3313492063492,0.8759461193072483
intact_av,1,acq,2,61.42857142857143,77.3313492063492,0.7943553559974343
intact_av,1,acq,3,55.02976190476191,77.3313492063492,0.7116100064143683
intact_av,1,acq,4,47.66369047619048,77.3313492063492,0.6163566388710713
intact_av,1,acq,6,40.25297619047619,77.3313492063492,0.5205259781911482
intact_av,1,acq,8,34.92559523809524,77.3313492063492,0.4516356638871072
intact_av,1,acq,10,32.88690476190476,77.3313492063492,0.42527261064785116
intact_av,1,acq,12,31.04166666666667,77.3313492063492,0.4014111610006415
intact_av,1,ext,1,31.66666666666667,77.3313492063492,0.4094932649134061
intact_av,1,ext,2,36.651785714285715,77.3313492063492,0.4739576651699808
intact_av,1,ext,3,42.72321428571429,77.3313492063492,0.5524695317511227
intact_av,1,ext,4,44.9702380952381,77.3313492063492,0.5815266196279668
intact_av,1,ext,5,49.12202380952381,77.3313492063492,0.6352148813341886
intact_av,1,ext,6,52.23214285714286,77.3313492063492,0.6754329698524696
intact_av,1,ext,7,55.29761904761905,77.3313492063492,0.7150737652341245
intact_av,1,ext,8,56.041666666666664,77.3313492063492,0.7246953175112252
intact_av,2,baseline,0,75.37202380952381,76.5079365079365,0.9851530082987552
intact_av,2,baseline,1,76.83035714285715,76.5079365079365,1.0042142116182575
intact_av,2,baseline,2,77.32142857142857,76.5079365079365,1.0106327800829875
intact_av,2,acq,1,67.96130952380952,76.5079365079365,0.8882909751037343
intact_av,2,acq,2,59.67261904761906,76.5079365079365,0.7799533195020748
intact_av,2,acq,3,54.017857142857146,76.5079365079365,0.706042531120332
intact_av,2,acq,4,50.02976190476191,76.5079365079365,0.6539159751037346
intact_av,2,acq,6,41.636904761904766,76.5079365079365,0.5442168049792532
intact_av,2,acq,8,35.86309523809524,76.5079365079365,0.46875000000000006
intact_av,2,acq,10,33.0952380952381,76.5079365079365,0.4325726141078839
intact_av,2,acq,12,31.11607142857143,76.5079365079365,0.4067038381742739
intact_av,2,ext,1,31.250000000000004,76.5079365079365,0.4084543568464731
intact_av,2,ext,2,37.351190476190474,76.5079365079365,0.48820020746887965
intact_av,2,ext,3,41.904761904761905,76.5079365079365,0.5477178423236515
intact_av,2,ext,4,44.10714285714286,76.5079365079365,0.5765041493775934
intact_av,2,ext,5,47.589285714285715,76.5079365079365,0.6220176348547718
intact_av,2,ext,6,52.20238095238095,76.5079365079365,0.6823132780082988
intact_av,2,ext,7,53.05059523809524,76.5079365079365,0.6933998962655602
intact_av,2,ext,8,58.24404761904763,76.5079365079365,0.7612811203319504
intact_av,3,baseline,0,76.99404761904762,76.79563492063492,1.0025836455238342
intact_av,3,baseline,1,76.8154761904762,76.79563492063492,1.0002583645523835
intact_av,3,baseline,2,76.57738095238095,76.79563492063492,0.9971579899237824
intact_av,3,acq,1,68.95833333333334,76.79563492063492,0.897946001808552
intact_av,3,acq,2,61.90476190476191,76.79563492063492,0.8060974034362486
