arm,run,phase,after_trial,mbon_rate_hz,B0,R
shuffle_v2,0,baseline,0,139.98511904761904,140.80357142857142,0.9941872754174593
shuffle_v2,0,baseline,1,140.43154761904762,140.80357142857142,0.9973578524624817
shuffle_v2,0,baseline,2,141.99404761904762,140.80357142857142,1.0084548721200592
shuffle_v2,0,acq,1,131.5625,140.80357142857142,0.9343690551680407
shuffle_v2,0,acq,2,125.29761904761905,140.80357142857142,0.8898752906362293
shuffle_v2,0,acq,3,119.00297619047619,140.80357142857142,0.8451701543014163
shuffle_v2,0,acq,4,112.94642857142858,140.80357142857142,0.8021559923906153
shuffle_v2,0,acq,6,105.92261904761905,140.80357142857142,0.752272246882266
shuffle_v2,0,acq,8,101.11607142857143,140.80357142857142,0.7181357006975271
shuffle_v2,0,acq,10,98.24404761904762,140.80357142857142,0.6977383217078842
shuffle_v2,0,acq,12,95.77380952380953,140.80357142857142,0.6801944620587614
shuffle_v2,0,ext,1,95.08928571428572,140.80357142857142,0.6753329105897274
shuffle_v2,0,ext,2,101.01190476190476,140.80357142857142,0.7173958993870219
shuffle_v2,0,ext,3,106.30952380952382,140.80357142857142,0.7550200803212853
shuffle_v2,0,ext,4,108.25892857142858,140.80357142857142,0.7688649334178822
shuffle_v2,0,ext,5,113.11011904761905,140.80357142857142,0.8033185373071233
shuffle_v2,0,ext,6,116.59226190476191,140.80357142857142,0.8280490382582965
shuffle_v2,0,ext,7,118.51190476190476,140.80357142857142,0.8416825195518919
shuffle_v2,0,ext,8,121.25000000000001,140.80357142857142,0.8611287254280281
shuffle_v2,1,baseline,0,140.5952380952381,141.04166666666666,0.9968347752690442
shuffle_v2,1,baseline,1,140.2232142857143,141.04166666666666,0.9941970879932477
shuffle_v2,1,baseline,2,142.30654761904762,141.04166666666666,1.0089681367377084
shuffle_v2,1,acq,1,132.73809523809524,141.04166666666666,0.9411268200042204
shuffle_v2,1,acq,2,124.10714285714286,141.04166666666666,0.8799324752057397
shuffle_v2,1,acq,3,119.24107142857143,141.04166666666666,0.8454315256383204
shuffle_v2,1,acq,4,111.5625,141.04166666666666,0.7909896602658789
shuffle_v2,1,acq,6,105.77380952380953,141.04166666666666,0.7499472462544842
shuffle_v2,1,acq,8,99.77678571428572,141.04166666666666,0.7074277273686432
shuffle_v2,1,acq,10,96.01190476190476,141.04166666666666,0.6807343321375818
shuffle_v2,1,acq,12,95.58035714285715,141.04166666666666,0.6776746148976579
shuffle_v2,1,ext,1,94.64285714285715,141.04166666666666,0.6710276429626505
shuffle_v2,1,ext,2,100.14880952380953,141.04166666666666,0.7100654146444398
shuffle_v2,1,ext,3,105.38690476190476,141.04166666666666,0.7472040514876557
shuffle_v2,1,ext,4,110.23809523809526,141.04166666666666,0.7815994935640432
shuffle_v2,1,ext,5,113.73511904761905,141.04166666666666,0.806393753956531
shuffle_v2,1,ext,6,116.08630952380953,141.04166666666666,0.8230639375395654
shuffle_v2,1,ext,7,116.96428571428572,141.04166666666666,0.8292888795104454
shuffle_v2,1,ext,8,121.22023809523812,141.04166666666666,0.8594640219455584
shuffle_v2,2,baseline,0,141.26488095238096,140.72420634920636,1.0038420867113147
shuffle_v2,2,baseline,1,140.66964285714286,140.72420634920636,0.9996122664786746
shuffle_v2,2,baseline,2,140.23809523809524,140.72420634920636,0.9965456468100106
shuffle_v2,2,acq,1,134.01785714285714,140.72420634920636,0.9523440253789214
shuffle_v2,2,acq,2,124.70238095238096,140.72420634920636,0.8861473387381037
shuffle_v2,2,acq,3,117.47023809523812,140.72420634920636,0.8347550229115264
shuffle_v2,2,acq,4,113.6309523809524,140.72420634920636,0.8074726824109976
shuffle_v2,2,acq,6,104.2559523809524,140.72420634920636,0.7408530137469158
shuffle_v2,2,acq,8,99.76190476190476,140.72420634920636,0.7089178709904829
